restaurant_id,restaurant_name,city,opening_hours
49,Fusion House Junction,Pune,8:00 AM - 11:00 PM
50,The Kitchen Point,Pune,6:00 PM - 3:00 AM
51,Modern Annapoorna Point,Mumbai,6:00 PM - 3:00 AM
52,Spice Spice Point,Bengaluru,8:00 AM - 10:00 PM
53,Little Bazaar Bar & Kitchen,Bengaluru,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
54,Hotel Flame Express,Mumbai,8:00 AM - 10:00 PM
55,Modern Masala Place,Hyderabad,10:00 AM - 10:00 PM
56,Little House & Co.,Mumbai,10:00 AM - 10:00 PM
57,Big Garden Hub,Bengaluru,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
58,Urban Chowk Hub,Delhi,8:00 AM - 10:00 PM
59,Grand Kabab Bar & Kitchen,Ahmedabad,8:00 AM - 11:00 PM
60,Grand Tadka Express,Mumbai,10:00 AM - 11:00 PM
61,Desi Bites Hub,Mumbai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
62,Urban Garden Junction,Hyderabad,10:00 AM - 11:00 PM
63,Biryani Haveli Express,Pune,8:00 AM - 11:00 PM
64,Hotel House Junction,Bengaluru,11:00 AM - 11:00 PM
65,Desi Palace Point,Mumbai,8:00 AM - 11:00 PM
66,Cafe Tadka Place,Mumbai,9:00 AM - 12:00 AM
67,Big Bazaar Lounge,Bengaluru,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
68,Grand Kabab Hub,Delhi,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
69,Cafe Darbar Bar & Kitchen,Hyderabad,12:00 PM - 12:00 AM
70,Little Zaika,Mumbai,12:00 PM - 12:00 AM
71,Urban Darbar,Mumbai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
72,Cafe Garden Cafe,Mumbai,8:00 AM - 10:00 PM
73,Heritage Mahal Place,Delhi,6:00 PM - 3:00 AM
74,Spice Rasoi Bar & Kitchen,Bengaluru,7:00 AM - 10:00 PM
75,Restaurant Darbar Junction,Mumbai,6:00 PM - 3:00 AM
76,Cafe Tadka Hub,Hyderabad,8:00 AM - 10:00 PM
77,Biryani Dosa Cafe,Kolkata,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
78,Fusion Flavours Cafe,Chennai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
79,Classic Rasoi Hub,Ahmedabad,11:30 AM - 11:45 PM
80,The Bazaar Express,Bengaluru,10:00 AM - 11:00 PM
81,Silver Masala Point,Ahmedabad,8:00 AM - 11:00 PM
82,Fusion Mahal Hub,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
83,Grand Swad Hub,Kolkata,8:00 AM - 11:00 PM
84,Desi Khana Express,Delhi,10:00 AM - 10:00 PM
85,Hotel Khana Point,Hyderabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
86,Classic Annapoorna Junction,Mumbai,9:00 AM - 12:00 AM
87,New Zaika Cafe,Hyderabad,24 Hours
88,Classic Darbar Junction,Ahmedabad,6:00 PM - 3:00 AM
89,Fusion Kabab Hub,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
90,Desi Palace Express,Delhi,8:00 AM - 10:00 PM
91,Modern Garden Express,Bengaluru,8:00 AM - 10:00 PM
92,New Swad Place,Delhi,6:00 PM - 3:00 AM
93,Fusion Biryani Place,Hyderabad,9:00 AM - 12:00 AM
94,Desi Rasoi Point,Surat,10:00 AM - 10:00 PM
95,Grand Dhaba Express,Mumbai,11:30 AM - 11:45 PM
96,Urban Dosa,Delhi,9:00 AM - 11:00 PM
97,Big Table Junction,Delhi,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
98,Spice Thali,Mumbai,7:00 AM - 10:00 PM
99,Silver Table Place,Chennai,9:00 AM - 11:00 PM
100,Modern Corner Bar & Kitchen,Ahmedabad,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
101,Biryani Tandoor Place,Delhi,8:00 AM - 11:00 PM
102,The Rasoi Junction,Ahmedabad,10:00 AM - 11:00 PM
103,Fusion Flavours Express,Hyderabad,8:00 AM - 11:00 PM
104,Restaurant Grill,Chennai,8:00 AM - 10:00 PM
105,Desi Curry,Hyderabad,11:00 AM - 11:00 PM
106,Desi Zaika Express,Delhi,10:00 AM - 11:00 PM
107,Biryani Annapoorna Hub,Hyderabad,24 Hours
108,Golden Biryani Hub,Hyderabad,10:00 AM - 10:00 PM
109,Royal Kitchen & Co.,Mumbai,24 Hours
110,Classic Haveli,Delhi,6:00 PM - 3:00 AM
111,Heritage Grill Lounge,Pune,9:00 AM - 12:00 AM
112,Biryani House Point,Kolkata,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
113,Spice Dosa Express,Mumbai,9:00 AM - 11:00 PM
114,New Grill Hub,Delhi,7:00 AM - 10:00 PM
115,Grand Bazaar Express,Delhi,10:00 AM - 10:00 PM
116,Hotel Khana Point,Jaipur,10:00 AM - 11:00 PM
117,Little Rasoi Express,Mumbai,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
118,Desi Grill Express,Delhi,24 Hours
119,Modern Bazaar,Ahmedabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
120,Biryani Garden Lounge,Bengaluru,11:00 AM - 11:00 PM
121,Fusion Corner Bar & Kitchen,Delhi,9:00 AM - 12:00 AM
122,Heritage Bites Lounge,Kolkata,10:00 AM - 10:00 PM
123,Old Grill Point,Chennai,6:00 PM - 3:00 AM
124,Fusion Khana & Co.,Mumbai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
125,The Palace Cafe,Bengaluru,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
126,Heritage Table,Hyderabad,9:00 AM - 11:00 PM
127,Fusion Haveli Bar & Kitchen,Mumbai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
128,Golden Tadka Bar & Kitchen,Ahmedabad,10:00 AM - 10:00 PM
129,Hotel Spice Hub,Ahmedabad,11:30 AM - 11:45 PM
130,Urban Dhaba Express,Chennai,12:00 PM - 12:00 AM
131,Biryani Annapoorna Point,Bengaluru,11:00 AM - 11:00 PM
132,Spice Biryani Bar & Kitchen,Delhi,24 Hours
133,New Annapoorna Junction,Bengaluru,9:00 AM - 11:00 PM
134,Desi Palace Express,Pune,10:00 AM - 11:00 PM
135,Desi Darbar Lounge,Mumbai,8:00 AM - 11:00 PM
136,Big Kabab Bar & Kitchen,Bengaluru,8:00 AM - 11:00 PM
137,Cafe Tandoor Lounge,Hyderabad,24 Hours
138,Restaurant Rasoi Cafe,Mumbai,8:00 AM - 11:00 PM
139,Classic Corner Point,Bengaluru,10:00 AM - 11:00 PM
140,Restaurant Bazaar Express,Delhi,8:00 AM - 10:00 PM
141,Desi Darbar Cafe,Mumbai,10:00 AM - 11:00 PM
142,New Tandoor Bar & Kitchen,Hyderabad,24 Hours
143,Fusion Swad Place,Delhi,10:00 AM - 11:00 PM
144,Cafe Mahal Lounge,Hyderabad,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
145,Old Bites & Co.,Delhi,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
146,Biryani Mahal Place,Mumbai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
147,Big Flavours Point,Pune,10:00 AM - 10:00 PM
148,Hotel Annapoorna Hub,Delhi,6:00 PM - 3:00 AM
149,New Bites Point,Mumbai,10:00 AM - 11:00 PM
150,Cafe Thali Junction,Bengaluru,12:00 PM - 12:00 AM
151,Spice Bites Place,Bengaluru,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
152,Little Swad & Co.,Kolkata,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
153,Royal Mahal Hub,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
154,Restaurant Biryani,Delhi,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
155,Old Tadka Hub,Hyderabad,8:00 AM - 11:00 PM
156,Big Thali Place,Kolkata,10:00 AM - 11:00 PM
157,Classic Tandoor Bar & Kitchen,Mumbai,9:00 AM - 12:00 AM
158,Urban Dhaba,Kolkata,6:00 PM - 3:00 AM
159,The Flavours Point,Chennai,24 Hours
160,Grand Garden Junction,Hyderabad,7:00 AM - 10:00 PM
161,Desi Darbar Express,Pune,6:00 PM - 3:00 AM
162,Big Curry Junction,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
163,Cafe Rasoi,Delhi,7:00 AM - 10:00 PM
164,Silver Spice Hub,Chennai,11:30 AM - 11:45 PM
165,Hotel House Lounge,Delhi,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
166,Grand Palace & Co.,Mumbai,24 Hours
167,Grand Mahal Lounge,Bengaluru,10:00 AM - 11:00 PM
168,Cafe Tandoor Express,Mumbai,24 Hours
169,Silver Flame,Mumbai,11:30 AM - 11:45 PM
170,Spice Flavours,Mumbai,6:00 PM - 3:00 AM
171,Classic Dosa Bar & Kitchen,Mumbai,7:00 AM - 10:00 PM
172,Hotel Swad Point,Bengaluru,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
173,Golden Spice,Delhi,10:00 AM - 11:00 PM
174,Old Rasoi Point,Hyderabad,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
175,New Haveli Cafe,Hyderabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
176,Old Table,Mumbai,8:00 AM - 11:00 PM
177,Biryani Kitchen Cafe,Chennai,11:00 AM - 11:00 PM
178,Cafe Garden,Bengaluru,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
179,Golden Khana Junction,Delhi,8:00 AM - 10:00 PM
180,Grand Kabab Place,Delhi,6:00 PM - 3:00 AM
181,Royal Corner,Bengaluru,10:00 AM - 11:00 PM
182,Restaurant Swad Place,Chennai,9:00 AM - 12:00 AM
183,Desi Grill Cafe,Ahmedabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
184,Big Garden Lounge,Hyderabad,8:00 AM - 11:00 PM
185,Urban Flame & Co.,Hyderabad,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
186,Fusion Garden & Co.,Delhi,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
187,Restaurant Bazaar Junction,Bengaluru,12:00 PM - 12:00 AM
188,Fusion Rasoi Place,Delhi,11:00 AM - 11:00 PM
189,Biryani Thali Point,Chennai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
190,Modern House Bar & Kitchen,Ahmedabad,8:00 AM - 11:00 PM
191,Classic Garden Bar & Kitchen,Bengaluru,7:00 AM - 10:00 PM
192,Grand Tandoor Junction,Bengaluru,11:30 AM - 11:45 PM
193,Cafe Table Lounge,Delhi,11:30 AM - 11:45 PM
194,Heritage Kitchen Cafe,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
195,Heritage Table Hub,Bengaluru,7:00 AM - 10:00 PM
196,The Masala & Co.,Mumbai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
197,Fusion Biryani & Co.,Chennai,6:00 PM - 3:00 AM
198,Restaurant Grill Lounge,Delhi,24 Hours
199,Restaurant Chowk Point,Surat,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
200,Royal Swad Point,Delhi,8:00 AM - 10:00 PM
201,Silver Flame Express,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
202,Little Palace Hub,Ahmedabad,7:00 AM - 10:00 PM
203,Heritage House Junction,Kolkata,24 Hours
204,The Tadka Cafe,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
205,Big Annapoorna Bar & Kitchen,Bengaluru,24 Hours
206,Hotel Biryani Express,Hyderabad,6:00 PM - 3:00 AM
207,Biryani Biryani Place,Mumbai,6:00 PM - 3:00 AM
208,Old Annapoorna,Delhi,24 Hours
209,Silver Kitchen,Pune,9:00 AM - 11:00 PM
210,Heritage Thali Lounge,Hyderabad,10:00 AM - 11:00 PM
211,Grand Corner Lounge,Mumbai,6:00 PM - 3:00 AM
212,Silver Garden & Co.,Bengaluru,8:00 AM - 10:00 PM
213,Hotel House & Co.,Bengaluru,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
214,Cafe Tandoor Hub,Delhi,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
215,New Chowk Junction,Hyderabad,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
216,Desi Haveli Place,Bengaluru,9:00 AM - 11:00 PM
217,Urban Table Lounge,Mumbai,11:00 AM - 11:00 PM
218,Restaurant Khana Junction,Pune,10:00 AM - 10:00 PM
219,Fusion Grill Junction,Chennai,11:00 AM - 11:00 PM
220,The Spice & Co.,Bengaluru,10:00 AM - 10:00 PM
221,Fusion Tandoor Bar & Kitchen,Mumbai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
222,Royal Kabab & Co.,Mumbai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
223,Classic Kabab Express,Bengaluru,6:00 PM - 3:00 AM
224,Fusion Bites Point,Hyderabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
225,Royal Garden Junction,Bengaluru,10:00 AM - 11:00 PM
226,Little Kabab Bar & Kitchen,Bengaluru,9:00 AM - 11:00 PM
227,Heritage Palace Lounge,Chennai,11:00 AM - 11:00 PM
228,Royal Darbar,Bengaluru,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
229,Old Grill Bar & Kitchen,Kolkata,6:00 PM - 3:00 AM
230,Restaurant Flame Bar & Kitchen,Kolkata,7:00 AM - 10:00 PM
231,Fusion Annapoorna & Co.,Kolkata,24 Hours
232,Hotel Garden Place,Pune,10:00 AM - 10:00 PM
233,Silver Haveli,Chennai,9:00 AM - 11:00 PM
234,Desi Bazaar Place,Kolkata,24 Hours
235,Old Mahal Lounge,Hyderabad,11:30 AM - 11:45 PM
236,Classic Palace Express,Bengaluru,10:00 AM - 10:00 PM
237,Fusion Swad Bar & Kitchen,Chennai,11:00 AM - 11:00 PM
238,Biryani Garden Cafe,Surat,7:00 AM - 10:00 PM
239,Big Darbar Lounge,Mumbai,10:00 AM - 10:00 PM
240,Urban Bites Hub,Kolkata,10:00 AM - 11:00 PM
241,Big Bazaar Lounge,Delhi,10:00 AM - 11:00 PM
242,Silver Kabab Hub,Pune,6:00 PM - 3:00 AM
243,Restaurant Kabab Lounge,Chennai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
244,Cafe Bites Junction,Delhi,9:00 AM - 12:00 AM
245,Classic Khana & Co.,Kolkata,9:00 AM - 12:00 AM
246,Urban Rasoi & Co.,Delhi,7:00 AM - 10:00 PM
247,Cafe Chowk Bar & Kitchen,Mumbai,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
248,Big Flame Junction,Hyderabad,10:00 AM - 10:00 PM
249,Big Dhaba Place,Bengaluru,11:30 AM - 11:45 PM
250,Classic Swad Place,Bengaluru,12:00 PM - 12:00 AM
251,Silver Annapoorna,Hyderabad,6:00 PM - 3:00 AM
252,Restaurant Corner Hub,Hyderabad,7:00 AM - 10:00 PM
253,Urban Darbar & Co.,Bengaluru,10:00 AM - 11:00 PM
254,Hotel Swad Bar & Kitchen,Delhi,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
255,Royal Annapoorna Point,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
256,Biryani Bites Hub,Hyderabad,11:30 AM - 11:45 PM
257,The Bazaar Lounge,Delhi,6:00 PM - 3:00 AM
258,Spice Thali Cafe,Mumbai,24 Hours
259,Cafe Spice Bar & Kitchen,Mumbai,24 Hours
260,Fusion Curry Cafe,Pune,11:00 AM - 11:00 PM
261,Grand Bites Cafe,Delhi,6:00 PM - 3:00 AM
262,Desi Biryani Junction,Pune,9:00 AM - 12:00 AM
263,Biryani Mahal,Mumbai,9:00 AM - 12:00 AM
264,Golden Dosa Express,Mumbai,11:30 AM - 11:45 PM
265,Modern Spice Express,Chennai,10:00 AM - 11:00 PM
266,Restaurant Mahal Junction,Bengaluru,10:00 AM - 11:00 PM
267,Urban Spice Cafe,Mumbai,11:30 AM - 11:45 PM
268,Restaurant Masala Hub,Delhi,10:00 AM - 11:00 PM
269,Royal Corner,Delhi,12:00 PM - 12:00 AM
270,Desi Kabab Express,Surat,9:00 AM - 11:00 PM
271,New Annapoorna Lounge,Delhi,10:00 AM - 11:00 PM
272,Hotel Tadka Bar & Kitchen,Delhi,10:00 AM - 10:00 PM
273,Big Khana Lounge,Chennai,6:00 PM - 3:00 AM
274,Cafe Darbar Lounge,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
275,Heritage Spice Place,Hyderabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
276,Big Table Lounge,Hyderabad,24 Hours
277,Golden House Point,Mumbai,9:00 AM - 12:00 AM
278,Hotel Kabab & Co.,Hyderabad,7:00 AM - 10:00 PM
279,Big Mahal,Kolkata,24 Hours
280,Desi Flavours Cafe,Hyderabad,12:00 PM - 12:00 AM
281,Desi Tadka Point,Bengaluru,6:00 PM - 3:00 AM
282,New Thali Bar & Kitchen,Delhi,7:00 AM - 10:00 PM
283,Royal Dosa Cafe,Chennai,24 Hours
284,Golden Khana Bar & Kitchen,Bengaluru,11:00 AM - 11:00 PM
285,New Flame Point,Pune,9:00 AM - 12:00 AM
286,Cafe Palace Point,Kolkata,8:00 AM - 11:00 PM
287,Desi Table Cafe,Delhi,6:00 PM - 3:00 AM
288,Heritage Chowk Lounge,Hyderabad,10:00 AM - 10:00 PM
289,The Corner Cafe,Delhi,8:00 AM - 10:00 PM
290,Little Tandoor Express,Mumbai,8:00 AM - 11:00 PM
291,Big Khana Hub,Kolkata,8:00 AM - 10:00 PM
292,Golden Haveli Point,Kolkata,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
293,Desi Curry Bar & Kitchen,Delhi,11:00 AM - 11:00 PM
294,Old Flame Express,Mumbai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
295,Restaurant Dosa Junction,Bengaluru,8:00 AM - 10:00 PM
296,Cafe Biryani Place,Kolkata,10:00 AM - 10:00 PM
297,Silver Flavours Junction,Bengaluru,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
298,Royal Annapoorna Cafe,Surat,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
299,Heritage Palace Point,Bengaluru,9:00 AM - 12:00 AM
300,Modern Tadka Point,Chennai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
301,The Tandoor Point,Hyderabad,10:00 AM - 11:00 PM
302,Silver Chowk Hub,Pune,10:00 AM - 11:00 PM
303,The Biryani Bar & Kitchen,Kolkata,9:00 AM - 12:00 AM
304,Modern Bites Express,Delhi,8:00 AM - 11:00 PM
305,Fusion Spice Express,Mumbai,10:00 AM - 10:00 PM
306,Hotel House Junction,Bengaluru,8:00 AM - 10:00 PM
307,Restaurant Flame Hub,Hyderabad,9:00 AM - 12:00 AM
308,Little Swad Lounge,Delhi,7:00 AM - 10:00 PM
309,Classic Chowk Point,Hyderabad,10:00 AM - 10:00 PM
310,The Swad Cafe,Delhi,8:00 AM - 10:00 PM
311,Urban Dosa Point,Bengaluru,24 Hours
312,Old Curry Cafe,Mumbai,9:00 AM - 12:00 AM
313,Spice Dosa Junction,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
314,Grand Haveli Lounge,Pune,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
315,Restaurant Masala,Kolkata,10:00 AM - 10:00 PM
316,Cafe Tandoor Bar & Kitchen,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
317,Fusion Thali Lounge,Chennai,11:30 AM - 11:45 PM
318,New Dosa & Co.,Hyderabad,24 Hours
319,New Darbar Cafe,Hyderabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
320,Grand Tandoor,Chennai,7:00 AM - 10:00 PM
321,Urban Palace Express,Delhi,10:00 AM - 11:00 PM
322,The Biryani & Co.,Pune,12:00 PM - 12:00 AM
323,Modern House Place,Delhi,10:00 AM - 10:00 PM
324,Hotel Dosa Place,Hyderabad,8:00 AM - 10:00 PM
325,Desi Darbar Junction,Pune,12:00 PM - 12:00 AM
326,Old Corner Express,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
327,Cafe Swad Bar & Kitchen,Delhi,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
328,Biryani Dhaba Bar & Kitchen,Chennai,7:00 AM - 10:00 PM
329,Silver Masala Cafe,Delhi,9:00 AM - 12:00 AM
330,Heritage Palace Place,Delhi,24 Hours
331,Golden Bites Junction,Mumbai,12:00 PM - 12:00 AM
332,Royal Rasoi Express,Bengaluru,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
333,Hotel Garden,Bengaluru,24 Hours
334,Restaurant Swad Hub,Delhi,8:00 AM - 11:00 PM
335,Modern Corner Point,Mumbai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
336,Biryani Flame Bar & Kitchen,Ahmedabad,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
337,Grand Curry,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
338,Old Khana Hub,Jaipur,8:00 AM - 11:00 PM
339,Big Khana Cafe,Hyderabad,11:30 AM - 11:45 PM
340,New Bazaar Express,Mumbai,8:00 AM - 11:00 PM
341,Royal Corner Hub,Kolkata,8:00 AM - 10:00 PM
342,Golden Garden Point,Bengaluru,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
343,Desi Tadka Cafe,Pune,8:00 AM - 10:00 PM
344,Old Spice Hub,Delhi,11:30 AM - 11:45 PM
345,Big Corner Express,Mumbai,10:00 AM - 11:00 PM
346,Hotel Curry Hub,Chennai,7:00 AM - 10:00 PM
347,Cafe Chowk Place,Mumbai,9:00 AM - 11:00 PM
348,Cafe Haveli Cafe,Chennai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
349,Classic Flame Express,Chennai,12:00 PM - 12:00 AM
350,Golden Thali Cafe,Chennai,10:00 AM - 10:00 PM
351,Golden Palace Express,Hyderabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
352,Classic Rasoi Express,Jaipur,7:00 AM - 10:00 PM
353,Biryani Spice Point,Surat,8:00 AM - 10:00 PM
354,Cafe Khana Hub,Mumbai,10:00 AM - 11:00 PM
355,Hotel Dhaba Bar & Kitchen,Kolkata,8:00 AM - 11:00 PM
356,Fusion Kitchen & Co.,Hyderabad,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
357,Urban Kitchen & Co.,Bengaluru,10:00 AM - 10:00 PM
358,New Zaika Hub,Kolkata,9:00 AM - 12:00 AM
359,Heritage Spice & Co.,Delhi,11:30 AM - 11:45 PM
360,Old Corner Point,Ahmedabad,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
361,New Garden,Delhi,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
362,Little Spice Point,Chennai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
363,Grand Swad Lounge,Chennai,8:00 AM - 10:00 PM
364,Classic Bazaar Lounge,Delhi,10:00 AM - 10:00 PM
365,Big Haveli Express,Mumbai,10:00 AM - 11:00 PM
366,Silver Bazaar Lounge,Chennai,24 Hours
367,The Thali Lounge,Hyderabad,6:00 PM - 3:00 AM
368,Old Spice Cafe,Pune,10:00 AM - 10:00 PM
369,Silver Kabab Hub,Chennai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
370,Spice Annapoorna Lounge,Mumbai,9:00 AM - 11:00 PM
