order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
118,5932,5512,Shahi Paneer,30-12-2023,12:19:23,Completed,1829
119,8161,5903,Upma,14-07-2023,07:17:55,Cancelled,2423
120,660,7205,Chicken Tikka,28-10-2023,19:56:59,Completed,2072
121,545,7559,Tamarind Rice,03-11-2022,08:02:29,Completed,944
122,4138,2851,Butter Chicken,12-08-2024,17:27:50,Cancelled,763
123,6205,688,Kheer,24-06-2022,19:33:50,Completed,319
124,4876,1317,Upma,28-08-2022,18:49:53,Cancelled,376
125,5271,3415,Phirni,12-12-2022,08:07:22,Cancelled,1939
126,9308,667,Jalebi,24-12-2022,05:10:51,Cancelled,582
127,7847,9895,Kadai Chicken,09-04-2023,11:57:12,Completed,1727
128,1515,2856,Butter Chicken,09-06-2024,16:41:54,Cancelled,629
129,7368,1839,Kheer,01-10-2024,05:23:18,Completed,96
130,1167,9512,Seekh Kebab,29-01-2024,10:39:25,Completed,224
131,6278,475,Masala Dosa,23-04-2023,17:01:19,Cancelled,1348
132,2971,8510,Kadai Chicken,21-01-2024,07:07:13,Cancelled,1747
133,7936,415,Haleem,07-02-2023,18:38:06,Completed,1494
134,3073,637,Pulao,10-12-2022,08:48:52,Completed,376
135,3367,8347,Dal Fry,26-09-2023,15:58:05,Cancelled,1787
136,5946,6383,Masala Papad,19-04-2023,17:12:23,Completed,1260
137,9500,3485,Prawn Masala,12-08-2022,19:58:42,Cancelled,2257
138,8309,9686,Sambar Rice,05-12-2022,16:41:21,Completed,1493
139,8470,8949,Shahi Paneer,19-03-2023,14:04:40,Completed,1644
140,4173,9916,Tandoori Roti,14-03-2023,18:56:36,Cancelled,2368
141,7503,6508,Saag Aloo,25-06-2022,07:39:54,Completed,670
142,3689,3453,Kheer,03-12-2023,20:00:17,Completed,1489
143,7329,2353,Chicken Tikka,26-07-2024,19:13:06,Cancelled,2298
144,8218,6287,Phirni,04-01-2023,12:50:09,Completed,1641
145,2607,6053,Kadai Chicken,05-02-2023,11:12:49,Completed,525
146,6933,9585,Dal Makhani,22-01-2024,06:37:12,Completed,1695
147,6394,9223,Masala Papad,15-11-2024,17:56:25,Completed,1684
148,2515,8985,Garlic Naan,30-09-2024,02:55:44,Completed,1032
149,5445,9456,Seekh Kebab,30-12-2024,18:11:57,Completed,757
150,2957,6320,Masala Papad,21-08-2022,20:18:10,Completed,236
151,4734,8381,Kadai Chicken,05-05-2024,14:56:24,Completed,597
152,3363,3327,Rava Dosa,27-08-2022,16:43:15,Cancelled,661
153,8865,2862,Grilled Fish,25-12-2024,17:19:24,Completed,148
154,9970,3152,Kheer,13-12-2024,10:08:55,Completed,2410
155,976,1874,Nihari,25-05-2023,17:27:31,Completed,1653
156,2738,317,Dal Fry,01-10-2022,18:33:26,Completed,658
157,2356,1863,Haleem,12-04-2023,22:25:20,Completed,764
158,9842,8693,Egg Curry,03-11-2024,13:02:44,Completed,906
159,2748,7746,Upma,29-07-2022,11:33:42,Completed,2398
160,1457,2477,Masala Dosa,12-03-2023,21:23:21,Completed,1089
161,4532,5949,Gulab Jamun,17-04-2024,14:03:00,Completed,2480
162,6121,292,Fish Curry,10-11-2023,05:22:34,Completed,949
163,2506,8220,Rogan Josh,04-12-2022,09:20:34,Completed,1551
164,3176,2176,Poha,04-04-2023,20:35:16,Completed,1146
165,8795,6395,Kadai Chicken,12-07-2023,06:49:01,Completed,2154
166,7673,5089,Prawn Masala,12-06-2024,12:00:39,Completed,2102
167,4243,9609,Pav Bhaji,04-06-2023,20:39:46,Completed,1061
168,1051,9324,Tamarind Rice,28-04-2023,20:30:11,Completed,1927
169,7903,8508,Bhindi Masala,11-02-2024,11:59:00,Cancelled,1788
170,6551,8021,Prawn Masala,20-07-2023,11:14:33,Completed,873
171,8317,630,Nihari,23-12-2022,19:16:13,Cancelled,990
172,8272,9082,Idli Sambhar,29-09-2023,13:34:07,Completed,111
173,8731,8211,Dum Aloo,22-07-2022,19:10:51,Completed,1581
174,866,7950,Tandoori Roti,01-08-2023,12:34:08,Completed,207
175,7535,2386,Kheer,03-02-2023,12:27:28,Completed,422
176,578,5563,Dal Fry,17-11-2023,15:36:06,Completed,158
177,3154,62,Kulfi,09-08-2024,07:15:30,Completed,1856
178,2750,8745,Rava Dosa,18-10-2023,16:02:01,Cancelled,1265
179,3089,7026,Dal Fry,15-01-2023,18:40:37,Cancelled,908
180,8954,9492,Hyderabadi Biryani,07-12-2024,10:05:16,Cancelled,1200
181,5511,9773,Rasgulla,13-02-2023,16:49:44,Completed,2384
182,2293,2197,Dal Tadka,04-11-2023,16:49:34,Completed,1866
183,519,2866,Gulab Jamun,09-03-2023,18:38:51,Completed,205
184,524,6429,Tandoori Roti,09-10-2024,18:15:29,Completed,629
185,3246,9957,Matar Paneer,01-06-2024,15:46:26,Completed,2431
186,2857,2399,Vada Pav,12-09-2023,10:08:58,Cancelled,168
187,906,7648,Jeera Rice,17-06-2023,03:41:23,Completed,217
188,6931,6985,Paneer Tikka,27-09-2023,20:36:02,Cancelled,1569
189,669,7552,Phirni,28-11-2024,07:47:55,Completed,1046
190,5037,9560,Paneer Tikka,06-10-2022,19:41:48,Completed,2216
191,6854,5512,Biryani,08-07-2022,10:39:36,Completed,957
192,8954,3252,Tamarind Rice,13-04-2023,09:59:28,Completed,2041
193,1939,3405,Nihari,30-03-2024,08:37:22,Completed,436
194,8068,4257,Matar Paneer,14-12-2023,07:09:00,Cancelled,1132
195,8251,3536,Tandoori Roti,09-10-2024,07:30:50,Completed,2050
196,4391,351,Shahi Paneer,10-02-2024,09:48:19,Completed,371
197,2346,4055,Rogan Josh,08-09-2022,14:21:36,Completed,1270
198,2532,5088,Bhindi Masala,31-08-2024,11:38:12,Completed,1020
199,3118,1092,Paneer Bhurji,25-12-2022,07:34:23,Completed,1124
200,5102,9540,Halwa,27-08-2022,14:22:18,Completed,811
201,7364,7719,Tandoori Roti,14-06-2023,15:14:06,Completed,885
202,8760,6868,Bisi Bele Bath,14-09-2023,21:52:11,Completed,147
203,7064,8970,Paneer Tikka,13-02-2023,14:17:12,Completed,1490
204,4720,6257,Phirni,01-08-2022,12:48:41,Completed,635
205,4485,1402,Nihari,06-02-2023,05:12:42,Completed,1121
206,7864,7610,Upma,19-06-2023,09:47:38,Cancelled,1811
207,9253,1068,Fish Curry,08-04-2023,13:39:27,Completed,921
208,2306,6597,Saag Aloo,11-10-2023,10:01:46,Completed,2133
209,7054,9644,Sambar Rice,29-03-2024,20:16:42,Cancelled,1653
210,3162,7984,Pesarattu,13-07-2022,18:23:44,Completed,497
211,8722,4445,Egg Curry,03-07-2022,17:03:52,Cancelled,2454
212,5895,3564,Poha,28-02-2023,20:20:28,Completed,1292
213,4057,3437,Nihari,04-09-2022,13:02:31,Completed,535
214,7012,6434,Pulao,29-12-2024,13:50:29,Completed,1371
215,6717,8921,Egg Curry,11-12-2024,13:06:38,Completed,2383
216,3164,3035,Butter Chicken,12-02-2024,17:14:49,Cancelled,2369
217,6747,8005,Dal Fry,28-09-2023,21:11:10,Completed,1722
218,8150,2430,Uttapam,11-11-2022,09:10:54,Completed,2134
219,108,7555,Rogan Josh,21-04-2024,18:33:07,Completed,2048
220,1176,9326,Dum Aloo,27-04-2023,20:28:18,Completed,1150
221,9896,6770,Chole Bhature,30-06-2024,16:06:26,Completed,501
222,1248,401,Seekh Kebab,23-03-2024,15:46:03,Completed,2232
223,4746,5846,Paneer Tikka,31-12-2024,00:39:25,Completed,1255
224,844,8555,Kulfi,21-01-2023,13:06:25,Cancelled,474
225,7355,880,Paneer Tikka,27-06-2024,09:05:27,Completed,1462
226,3520,4867,Uttapam,02-12-2022,16:03:45,Completed,1673
227,6427,389,Dal Makhani,09-09-2024,07:23:51,Completed,365
228,7143,116,Gulab Jamun,01-12-2022,15:36:42,Completed,2196
229,6350,5331,Rasgulla,18-09-2024,10:37:32,Cancelled,2325
230,6887,4981,Lemon Rice,06-11-2024,18:54:26,Completed,119
231,7751,6386,Palak Paneer,07-07-2023,14:15:34,Completed,1189
232,1070,7317,Pav Bhaji,19-03-2023,12:10:19,Completed,2054
233,9661,1897,Galouti Kebab,08-06-2024,06:36:50,Completed,1602
234,3481,9393,Dal Fry,23-06-2022,11:03:57,Completed,1848
235,4268,1728,Tamarind Rice,20-12-2023,08:59:29,Completed,2371
236,3772,5628,Biryani,20-12-2023,18:45:30,Completed,198
237,6403,5139,Rasgulla,08-08-2023,17:43:41,Completed,517
238,3690,7964,Chicken Tikka,24-10-2022,02:12:34,Completed,1234
239,6452,9585,Kadai Chicken,01-03-2024,21:09:38,Completed,2217
240,6146,4430,Rava Dosa,21-04-2024,17:35:52,Completed,455
241,2452,4078,Halwa,29-08-2024,13:37:07,Completed,2179
242,3904,8863,Rasgulla,20-10-2024,18:40:32,Completed,126
243,2169,7833,Shahi Paneer,28-10-2023,09:40:15,Completed,721
244,8476,6380,Shahi Paneer,19-10-2024,16:18:50,Cancelled,839
245,5392,5051,Poha,29-04-2023,17:20:22,Completed,1497
246,8529,5606,Prawn Masala,29-01-2023,09:43:35,Completed,1051
247,7850,6117,Phirni,24-10-2022,10:35:14,Completed,315
248,8384,5612,Phirni,01-01-2023,16:24:25,Completed,882
249,6048,3146,Tandoori Roti,14-06-2024,14:58:51,Completed,326
250,5356,9336,Dum Aloo,17-06-2022,20:47:06,Completed,383
251,8254,6098,Hyderabadi Biryani,12-10-2023,11:36:02,Completed,1234
252,8596,9518,Dum Aloo,27-03-2024,15:41:46,Completed,453
253,5402,2926,Hyderabadi Biryani,20-02-2024,13:29:10,Completed,1498
254,1461,9815,Shammi Kebab,12-09-2022,19:12:51,Completed,113
255,749,8479,Saag Aloo,21-04-2024,21:45:15,Cancelled,841
256,5116,2726,Dum Aloo,19-11-2023,18:50:22,Cancelled,1602
257,9060,6493,Rasgulla,14-12-2022,22:07:04,Completed,220
258,3330,5798,Mixed Veg,27-10-2024,19:12:28,Completed,1052
259,8406,9066,Dum Aloo,04-07-2023,15:22:15,Completed,2051
260,9893,3885,Mixed Veg,22-05-2023,21:41:27,Completed,1869
261,2775,2207,Gulab Jamun,11-08-2024,20:29:34,Cancelled,560
262,6575,9088,Masala Dosa,06-12-2024,21:51:05,Completed,668
263,2150,46,Pesarattu,22-11-2022,19:39:48,Cancelled,2473
264,9964,7443,Sambar Rice,17-08-2024,22:33:16,Completed,688
265,433,694,Lemon Rice,01-12-2024,01:43:56,Completed,1609
266,3182,2423,Paneer Bhurji,07-12-2022,16:59:55,Completed,1485
267,3427,1881,Mutton Curry,26-09-2024,21:54:47,Completed,864
268,7024,2558,Nihari,07-12-2022,19:11:40,Completed,328
269,6250,4960,Aloo Gobi,26-06-2023,18:57:52,Completed,623
270,10,1411,Seekh Kebab,24-12-2024,09:19:43,Completed,145
271,5006,7300,Egg Curry,11-06-2024,13:22:05,Completed,489
272,5122,6761,Matar Paneer,02-12-2022,15:20:55,Cancelled,949
273,3598,758,Idli Sambhar,17-11-2024,07:30:12,Completed,2174
274,4986,7365,Kadai Chicken,07-09-2023,19:30:51,Completed,1651
275,9969,897,Pav Bhaji,29-10-2023,09:50:33,Completed,1880
276,945,3721,Mutton Curry,12-08-2024,16:06:03,Cancelled,1593
277,850,3069,Idli Sambhar,18-08-2024,22:21:38,Completed,1891
278,1103,8614,Phirni,21-05-2024,21:30:54,Cancelled,385
279,5824,3832,Aloo Gobi,20-07-2022,10:26:30,Completed,1405
280,2812,8348,Prawn Masala,03-01-2024,21:24:26,Completed,396
281,8576,1767,Rajma Chawal,04-03-2024,18:11:41,Completed,1470
282,3154,2492,Phirni,02-07-2024,20:13:10,Completed,858
283,7463,4774,Hyderabadi Biryani,11-04-2023,12:26:37,Cancelled,978
284,3710,6123,Pesarattu,19-08-2022,06:12:10,Completed,1199
285,8998,7441,Sambar Rice,25-12-2024,16:54:45,Completed,364
286,3883,33,Chole Bhature,05-09-2024,10:19:18,Completed,2198
287,5025,9208,Lemon Rice,30-06-2024,13:39:59,Completed,1112
288,7490,6498,Shahi Paneer,11-08-2022,18:16:16,Completed,1516
289,6387,5180,Halwa,21-01-2023,13:39:14,Completed,233
290,1661,985,Rogan Josh,04-06-2024,18:06:27,Completed,1842
291,4965,3689,Kulfi,24-11-2024,07:33:50,Completed,2225
292,6381,9191,Butter Naan,15-07-2024,14:41:34,Completed,1166
293,5427,8508,Shahi Paneer,18-06-2024,08:48:05,Completed,1269
294,4642,352,Shammi Kebab,15-08-2023,18:31:00,Cancelled,2129
295,4811,5501,Phirni,20-05-2023,08:31:49,Completed,2052
296,220,5746,Jeera Rice,17-02-2024,18:27:06,Completed,1667
297,615,1883,Palak Paneer,10-04-2024,12:58:13,Cancelled,789
298,1608,2780,Vada Pav,09-06-2024,17:22:03,Cancelled,680
299,7951,7925,Fish Curry,01-05-2024,19:16:56,Completed,2218
300,4871,7130,Gulab Jamun,29-01-2023,18:38:26,Completed,100
301,3190,2062,Paneer Tikka,20-06-2023,13:14:04,Completed,2020
302,7645,1858,Prawn Masala,14-10-2022,19:55:50,Completed,200
303,4658,2061,Bisi Bele Bath,11-10-2024,20:24:26,Completed,1899
304,7982,2808,Chicken Tikka,30-09-2024,18:53:32,Completed,935
305,3155,4684,Rogan Josh,14-10-2023,12:33:52,Cancelled,796
306,8646,2950,Galouti Kebab,25-10-2022,13:55:33,Completed,565
307,8601,4119,Shammi Kebab,21-01-2023,09:13:12,Completed,432
308,4381,8330,Kulfi,23-07-2022,19:01:52,Completed,2380
309,473,9448,Masala Papad,28-12-2022,15:51:41,Completed,1714
310,1374,5078,Garlic Naan,13-12-2022,21:11:55,Cancelled,228
311,6552,3277,Shammi Kebab,16-01-2023,21:39:23,Cancelled,760
312,115,3861,Grilled Fish,03-10-2024,18:47:16,Completed,2492
313,5656,914,Chole Bhature,25-02-2023,21:13:03,Completed,1685
314,3578,845,Dal Makhani,26-11-2022,08:51:37,Completed,212
315,7221,7223,Rava Dosa,05-10-2023,17:51:27,Completed,983
316,589,4721,Lemon Rice,10-04-2023,18:51:59,Completed,1929
317,2832,202,Bhindi Masala,25-04-2024,09:38:38,Completed,890
318,5681,4021,Dal Fry,11-11-2023,05:41:11,Completed,1494
319,9718,1707,Paneer Bhurji,15-08-2024,20:11:40,Completed,395
320,847,2637,Masala Dosa,21-01-2023,09:25:17,Completed,274
321,1746,6448,Masala Papad,02-08-2023,08:39:49,Cancelled,1151
322,3963,1024,Rabri,04-09-2022,19:43:22,Completed,936
323,7674,9090,Saag Aloo,10-08-2023,07:45:15,Completed,1363
324,8415,5913,Dal Makhani,19-04-2024,06:43:56,Completed,1111
325,9428,2789,Masala Papad,04-07-2022,17:37:39,Completed,1200
326,7522,8937,Jeera Rice,02-06-2022,20:46:00,Completed,2030
327,2326,5600,Tamarind Rice,02-08-2024,16:26:12,Completed,1847
328,9396,7016,Haleem,21-08-2023,16:11:54,Completed,2132
329,4541,1811,Rava Dosa,26-02-2023,16:36:38,Cancelled,2377
330,5857,4789,Halwa,30-05-2023,23:23:55,Cancelled,1440
331,2558,1501,Butter Naan,12-06-2024,14:08:56,Cancelled,815
332,2918,8973,Garlic Naan,25-01-2024,17:23:29,Cancelled,1108
333,3918,7474,Nihari,10-02-2024,16:14:08,Completed,1900
334,6268,6299,Phirni,25-01-2024,19:31:24,Completed,2182
335,6664,1362,Garlic Naan,19-01-2023,13:52:36,Completed,896
336,904,3288,Nihari,15-08-2023,18:54:32,Completed,1897
337,2195,1270,Aloo Paratha,17-01-2024,18:12:01,Completed,559
338,1333,3792,Paneer Tikka,16-11-2024,22:09:49,Completed,1996
339,5827,5966,Masala Papad,16-07-2022,04:30:40,Completed,2172
340,2264,5330,Dal Tadka,03-08-2024,19:27:26,Completed,265
341,7839,4351,Poha,08-02-2024,11:51:50,Completed,1987
342,8988,526,Matar Paneer,15-03-2023,17:48:43,Completed,1031
343,5373,8957,Butter Chicken,21-11-2024,17:24:52,Completed,2185
344,4382,3873,Jeera Rice,03-04-2023,17:55:55,Completed,1538
345,7921,9764,Dum Aloo,11-11-2023,18:43:53,Cancelled,443
346,4882,7703,Masala Dosa,03-09-2022,21:27:08,Completed,1228
347,13,8945,Prawn Masala,22-07-2022,14:37:51,Completed,1403
348,3228,5233,Palak Paneer,15-12-2022,23:05:00,Completed,1124
349,6490,1414,Idli Sambhar,20-12-2023,19:55:24,Completed,376
350,3014,446,Kulfi,14-05-2024,17:25:13,Completed,1395
351,7475,9416,Poha,30-09-2024,07:39:21,Completed,292
352,6968,230,Dal Fry,26-01-2023,19:36:38,Completed,2050
353,8910,9748,Sambar Rice,28-06-2022,12:10:06,Completed,2484
354,6095,7778,Lemon Rice,25-10-2024,11:39:11,Cancelled,2225
355,9492,1339,Nihari,18-12-2022,19:40:27,Completed,1566
356,9733,8794,Dal Fry,03-09-2023,15:57:57,Completed,1432
357,7308,3182,Rogan Josh,04-05-2024,13:13:11,Completed,351
358,161,2977,Gulab Jamun,19-10-2024,04:07:44,Completed,1907
359,2584,5641,Bhindi Masala,24-05-2024,08:47:07,Completed,187
360,9853,154,Saag Aloo,04-06-2022,20:13:40,Completed,198
361,9252,8347,Fish Curry,26-06-2023,17:42:07,Completed,391
362,9875,2933,Jeera Rice,01-08-2024,15:13:08,Cancelled,1661
363,8675,4092,Bhindi Masala,14-10-2023,11:04:11,Cancelled,139
364,876,7416,Medu Vada,14-08-2022,21:31:04,Completed,863
365,7639,6502,Idli Sambhar,10-11-2023,09:38:55,Completed,1278
366,6248,6552,Uttapam,19-05-2024,13:15:47,Completed,564
367,3192,5480,Pesarattu,17-12-2024,14:48:47,Completed,154
368,8623,9816,Masala Dosa,05-06-2023,16:39:06,Completed,2390
369,5522,6812,Aloo Gobi,07-07-2024,20:34:49,Completed,1003
370,1856,5402,Dal Fry,15-06-2023,12:12:20,Completed,1890
371,3887,5301,Prawn Masala,17-06-2024,16:55:56,Completed,1193
372,6789,7982,Chicken Tikka,15-11-2023,17:39:57,Completed,2211
373,8323,4201,Aloo Paratha,07-09-2024,20:21:47,Completed,1987
374,6360,6433,Shammi Kebab,09-10-2022,09:17:38,Completed,2026
375,2986,2185,Garlic Naan,10-12-2023,14:54:05,Completed,1770
376,115,5749,Gulab Jamun,01-07-2022,15:07:03,Completed,262
377,4965,3263,Mixed Veg,07-04-2023,08:26:26,Completed,593
378,2514,1916,Rasgulla,17-03-2024,15:07:33,Cancelled,290
379,6617,4334,Saag Aloo,29-10-2022,05:00:03,Completed,2388
380,9636,8830,Tandoori Roti,19-04-2024,17:24:50,Completed,1147
381,8807,65,Seekh Kebab,30-01-2024,12:59:33,Completed,1962
382,349,1629,Tamarind Rice,02-06-2022,10:23:15,Completed,714
383,4227,7866,Kadai Chicken,28-01-2024,14:53:45,Cancelled,1533
384,2039,6628,Hyderabadi Biryani,10-10-2023,16:46:39,Completed,1587
385,4671,2325,Mutton Curry,28-05-2024,08:56:23,Completed,481
386,1967,3180,Shammi Kebab,01-03-2024,10:43:03,Cancelled,2011
387,3557,9481,Upma,26-05-2024,19:04:19,Completed,1117
388,3854,3513,Pav Bhaji,13-07-2022,13:00:52,Completed,2001
389,6498,2556,Pav Bhaji,06-06-2023,16:41:40,Completed,1911
390,552,5254,Jalebi,20-08-2023,19:45:43,Completed,337
391,5273,6201,Rava Dosa,08-01-2024,18:53:12,Completed,1668
392,5596,1755,Shahi Paneer,06-07-2022,10:54:34,Completed,1479
